id,address,school_nam,albers_x,albers_y
0,4195 Alexandra St,Little Flower Academy,1208205,474434
1,3663 Penticton St,Lord Beaconsfield Elementary,1214710,475113
2,3455 W King Edward Av,Lord Kitchener Elementary,1205430,474562
3,1150 Nelson St,Lord Roberts Annex,1208956,478319
4,4444 Dumfries St,Lord Selkirk Annex,1213302,474297
5,2678 W Broadway,Madrona School,1206409,476041
6,2300 Guelph St,Mount Pleasant StrongStart Centre,1211649,476302
7,2550 Camosun St,Our Lady of Perpetual Help,1204210,476021
8,1819 Larch St,Pacific Rim Montessori Academy,1206640,476746
9,1580 W Broadway,Peak House,1208284,476091
10,4102 W 16th Av,Queen Elizabeth Elementary,1203878,475302
11,1850 E 3rd Av,Queen Victoria Annex,1213646,476743
12,3315 E 22nd Av,Renfrew Community Elementary,1216215,475100
13,4250 Marguerite St,Shaughnessy Elementary,1208091,474457
14,960 E 39th Av,Sir Alexander Mackenzie Elementary,1212313,473057
15,419 E 24th Av,Sir Charles Tupper Secondary,1211654,474722
16,3250 Kingsway,Sir Guy Carleton Community Elementary,1215891,473184
17,1300 E 29th Av,Sir Richard McBride Elementary,1212891,474150
18,1950 E Hastings St,Sir William Macdonald Community,1213706,478250
19,7055 Heather St,Sir Winston Churchill Secondary,1209541,471445
20,5855 Ontario St,Sir Wm Van Horne Elementary,1210881,472668
21,1370 W 73rd Av,St Anthony of Padua,1208785,469569
22,2215 W 10th Av,St John's School,1207126,476030
23,5239 Joyce St,St Mary's,1216160,473546
24,115 E 11th Av,St Patrick Regional Secondary,1211034,475992
25,2850 Quebec St,St Patrick's Elementary,1211054,475810
26,3155 E 27th Av,Sunny Hill Hospital Program,1215866,474536
27,2325 Cassiar St,Thunderbird Elementary,1216172,476454
28,3525 Dumphries St,Tyee Elementary,1213165,475208
29,3496 Mons Drive,Vancouver Christian,1216454,475472
30,5400 Cartier St,Vancouver College,1208709,472956
31,1545 W 62nd Av,Vancouver Hebrew Academy,1208418,470778
32,8650 Barnard St,Vancouver Montessori School,1208215,469915
33,1000 E 59th Av,Walter Moberly Elementary,1212570,471018
34,3075 Slocan St,Westside Montessori Academy,1214855,475653
35,4176 Alexandra St,York House School,1208343,474486
36,688 W Hastings St,Alexander Academy,1210097,478578
37,5025 Willow St,BC Children's Adol. Psych. Unit,1209444,473506
38,1001 Cotton Drive,Britannia Community Secondary,1213204,477619
39,3340 E 54th Av,Captain James Cook Elementary,1216090,471528
40,3340 E 54th Av,Captain James Cook StrongStart Centre,1216090,471528
41,3400 Balaclava St,Carnarvon Community Elementary,1205890,475248
42,2684 E 2nd Av,Chief Maquinna StrongStart Centre,1214790,476868
43,3575 Kaslo St,Children's Hearing and Speech Centre BC,1215025,475151
44,3417 Euclid Av,Collingwood Neighbourhood School,1216267,473422
45,1755 E 55th Av,David Thompson Secondary,1213550,471540
46,555 Lillooet St,Dr A R Lord Elementary,1215541,478206
47,6350 Tisdall St,Dr Annie B Jamieson Elementary,1209850,472107
48,3050 Crown St,Ecole Jules Quesnel Elementary,1204495,475524
49,150 Drake St,Elsie Roy Elementary,1209538,477136
50,4070 Oak St,Emily Carr Elementary,1209375,474661
51,4196 W 4th Av,Family Montessori School,1204044,476407
52,2294 W 10th Av,Fraser Academy,1207048,475970
53,2330 E 37th Av,G T Cunningham Elementary,1214434,473389
54,3633 Tanner St,Graham Bruce Community Elementary,1216724,474078
55,1551 Cypress St,Henry Hudson Elementary,1207582,477057
56,2490 W 37th Av,Ivy Montessori School,1206807,473231
57,451 E 53rd Av,John Henderson Elementary,1211745,471702
58,4710 Slocan St,John Norquay Elementary,1214836,473927
59,5718 Willow St,King David High School,1209691,472828
60,1755 Barclay St,King George Secondary,1208443,479047
61,1130 Keefer St,Admiral Seymour StrongStart Centre,1212578,477967
62,5025 Willow St,BC Childrens Hosp School Program,1209444,473506
63,2251 Collingwood St,Bayview Community Elementary,1205207,476322
64,1690 Matthews Av,Canuck Place School Program,1208132,474791
65,6955 Frontenac St,Champlain Heights Community Elementary,1216673,471693
66,1010 E 17th Av,Charles Dickens Elementary,1212535,475325
67,2684 E 2nd Av,Chief Maquinna Elementary,1214790,476868
68,3417 Euclid Av,Collingwood StrongStart Centre,1216267,473422
69,438 Terminal Av,Columbia College,1211535,477142
70,1580 W Broadway,Continuing Ed SD 39,1208284,476091
71,6344 Nanaimo St,Corpus Christi School,1214473,472242
