address,albers_x,albers_y,DISSEMINATION_BLOCK_ID,nearest_facility,coord_x,coord_y,drv_time_sec,drv_time_hrs,drv_dist,tag
"1 ALEXANDER ST, VANCOUVER, BC",1210833,478461,59153578002,Crosstown Elementary,1210665,477892,140.0719795437927,00:02:20,1.101,schools
"1 ATHLETES WAY, VANCOUVER, BC",1210760,477135,59154174017,St Francis Xavier,1211599,476578,146.6748237642705,00:02:26,1.217,schools
"1 E BROADWAY, VANCOUVER, BC",1210877,476187,59153163003,St Patrick Regional Secondary,1211034,475992,80.54899532315487,00:01:20,0.435,schools
"1 E CORDOVA ST, VANCOUVER, BC",1210855,478339,59153580004,Crosstown Elementary,1210665,477892,130.4816782246342,00:02:10,1.09,schools
"1 E PENDER ST, VANCOUVER, BC",1210839,478124,59153585015,Crosstown Elementary,1210665,477892,47.68904558120364,00:00:47,0.412,schools
"1 MAIN NORTH FOOT, VANCOUVER, BC",1211178,478730,59153181035,Crosstown Elementary,1210665,477892,218.4344012874926,00:03:38,1.713,schools
"1 PEVERIL AV, VANCOUVER, BC",1210899,474140,59153249006,General Wolfe Elementary,1210854,474408,72.76158246393844,00:01:12,0.465,schools
"1 ROBSON ST, VANCOUVER, BC",1210313,477648,59154000014,The Westside School,1210172,477754,60.82056215166378,00:01:00,0.541,schools
"1 W 7TH AV, VANCOUVER, BC",1210839,476377,59154173030,St Patrick Regional Secondary,1211034,475992,99.85192382947686,00:01:39,0.59,schools
"10 E 11TH AV, VANCOUVER, BC",1210880,475928,59153160001,St Patrick Regional Secondary,1211034,475992,23.285319295338734,00:00:23,0.14,schools
"10 E 11TH AV, VANCOUVER, BC",1210895,475935,59153160001,St Patrick Regional Secondary,1211034,475992,23.285319295338734,00:00:23,0.14,schools
"10 E 26TH AV, VANCOUVER, BC",1210943,474489,59150689003,General Wolfe Elementary,1210854,474408,51.42465263429441,00:00:51,0.238,schools
"10 E PENDER ST, VANCOUVER, BC",1210901,478027,59153585002,Crosstown Elementary,1210665,477892,49.733794992420684,00:00:49,0.336,schools
"10 W 14TH AV, VANCOUVER, BC",1210849,475629,59153161001,St Patrick's Elementary,1211054,475810,48.11882430500026,00:00:48,0.323,schools
"100 E CORDOVA ST, VANCOUVER, BC",1210985,478288,59153581002,Crosstown Elementary,1210665,477892,120.42076682579335,00:02:00,0.718,schools
"100 E PENDER ST, VANCOUVER, BC",1210984,478077,59153585003,Crosstown Elementary,1210665,477892,69.8156173916709,00:01:09,0.652,schools
"100 POWELL ST, VANCOUVER, BC",1210992,478389,59153581001,Crosstown Elementary,1210665,477892,118.95966386618446,00:01:58,0.953,schools
"100 W 13TH AV, VANCOUVER, BC",1210708,475727,59153156002,St Patrick's Elementary,1211054,475810,51.38530981371092,00:00:51,0.36,schools
"100 W 15TH AV, VANCOUVER, BC",1210632,475505,59150680007,Simon Fraser Elementary,1210646,475505,70.85423059692023,00:01:10,0.558,schools
"1000 IRONWORK PASSAGE, VANCOUVER, BC",1209119,476606,59153689034,False Creek Elementary,1209243,476553,101.2903425845552,00:01:41,0.294,schools
"1000 PARKER ST, VANCOUVER, BC",1212590,477606,59150751023,Admiral Seymour StrongStart Centre,1212578,477967,91.42852313860914,00:01:31,0.56,schools
"1000 ROBSON ST, VANCOUVER, BC",1209430,478365,59153682002,Pattison High School,1209307,478110,54.994708344653844,00:00:54,0.417,schools
"1001 E 20TH AV, VANCOUVER, BC",1212475,475104,59154190005,Charles Dickens Elementary,1212535,475325,53.84456667642529,00:00:53,0.287,schools
"1001 E 7TH AV, VANCOUVER, BC",1212283,476500,59150720001,Mount Pleasant StrongStart Centre,1211649,476302,118.86982849230424,00:01:58,0.876,schools
"1001 E 7TH AV, VANCOUVER, BC",1212421,476417,59150720001,Mount Pleasant StrongStart Centre,1211649,476302,118.86982849230424,00:01:58,0.876,schools
"1001 E PENDER ST, VANCOUVER, BC",1212429,478153,59153189016,Admiral Seymour StrongStart Centre,1212578,477967,109.63542333546647,00:01:49,0.569,schools
"1001 HOMER ST, VANCOUVER, BC",1209638,477702,59154135001,Elsie Roy Elementary,1209538,477136,111.11986128575627,00:01:51,0.859,schools
"1001 HORNBY ST, VANCOUVER, BC",1209252,478061,59153849002,Pattison High School,1209307,478110,75.12387001841054,00:01:15,0.529,schools
"1001 HORNBY ST, VANCOUVER, BC",1209280,478034,59153849002,Pattison High School,1209307,478110,75.12387001841054,00:01:15,0.529,schools
"1001 KINGSWAY, VANCOUVER, BC",1212459,475240,59154191009,Charles Dickens Elementary,1212535,475325,32.56960375549472,00:00:32,0.147,schools
"1001 KINGSWAY, VANCOUVER, BC",1212479,475229,59154191009,Charles Dickens Elementary,1212535,475325,32.56960375549472,00:00:32,0.147,schools
"1001 KINGSWAY, VANCOUVER, BC",1212469,475233,59154191009,Charles Dickens Elementary,1212535,475325,32.56960375549472,00:00:32,0.147,schools
"1001 NICOLA ST, VANCOUVER, BC",1208578,478681,59150846003,Lord Roberts Elementary,1208355,478705,64.30765284372397,00:01:04,0.435,schools
"1001 POWELL ST, VANCOUVER, BC",1212452,478423,59153181036,Admiral Seymour StrongStart Centre,1212578,477967,95.9366529697271,00:01:35,0.749,schools
"1001 RICHARDS ST, VANCOUVER, BC",1209569,477772,59154134001,Elsie Roy Elementary,1209538,477136,123.90566884873733,00:02:03,0.955,schools
"1001 ROBSON ST, VANCOUVER, BC",1209452,478400,59153483001,Pattison High School,1209307,478110,55.513246471750165,00:00:55,0.424,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209495,477836,59154134002,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209505,477847,59154134002,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 SEYMOUR ST, VANCOUVER, BC",1209510,477853,59154134002,Pattison High School,1209307,478110,119.34381677481295,00:01:59,0.827,schools
"1001 VENABLES ST, VANCOUVER, BC",1212444,477792,59153188003,Admiral Seymour StrongStart Centre,1212578,477967,75.28077714797932,00:01:15,0.6,schools
"1001 W BROADWAY, VANCOUVER, BC",1209227,476174,59153133004,L'Ecole Bilingue Elementary,1209026,475541,117.63937312882992,00:01:57,0.963,schools
"1001 W BROADWAY, VANCOUVER, BC",1209254,476174,59153133004,L'Ecole Bilingue Elementary,1209026,475541,117.63937312882992,00:01:57,0.963,schools
"1001 W BROADWAY, VANCOUVER, BC",1209238,476174,59153133004,L'Ecole Bilingue Elementary,1209026,475541,117.63937312882992,00:01:57,0.963,schools
"1001 W CORDOVA ST, VANCOUVER, BC",1209875,478905,59153997002,Alexander Academy,1210097,478578,93.1252546086906,00:01:33,0.542,schools
"1002 E 12TH AV, VANCOUVER, BC",1212458,475828,59150745005,Florence Nightingale StrongStart Centre,1211687,475869,80.00516935059866,00:01:20,0.787,schools
"1002 E 14TH AV, VANCOUVER, BC",1212462,475627,59150737004,Charles Dickens Elementary,1212535,475325,74.49108780904523,00:01:14,0.45,schools
"1002 E 20TH AV, VANCOUVER, BC",1212472,475056,59154158001,Charles Dickens Elementary,1212535,475325,57.479089723989745,00:00:57,0.37,schools
"1002 SEYMOUR ST, VANCOUVER, BC",1209526,477784,59154134001,Elsie Roy Elementary,1209538,477136,130.2604520484558,00:02:10,0.974,schools
"1002 W 10TH AV, VANCOUVER, BC",1209245,476005,59153136002,L'Ecole Bilingue Elementary,1209026,475541,88.06136669143632,00:01:28,0.746,schools
"1003 BURNABY ST, VANCOUVER, BC",1208940,477840,59150795003,Pattison High School,1209307,478110,64.1537241529537,00:01:04,0.474,schools
"1003 DOUGLAS CRESCENT, VANCOUVER, BC",1209234,475163,59150656002,L'Ecole Bilingue Elementary,1209026,475541,55.64918370695571,00:00:55,0.645,schools
"1003 E 10TH AV, VANCOUVER, BC",1212449,476086,59150744001,Florence Nightingale StrongStart Centre,1211687,475869,101.89670050082118,00:01:41,0.98,schools
"1003 E 11TH AV, VANCOUVER, BC",1212454,475979,59150744002,Florence Nightingale StrongStart Centre,1211687,475869,88.75251793370042,00:01:28,0.873,schools
"1003 E 12TH AV, VANCOUVER, BC",1212455,475885,59150744003,Florence Nightingale StrongStart Centre,1211687,475869,76.84862200562021,00:01:16,0.779,schools
"1003 E 14TH AV, VANCOUVER, BC",1212462,475685,59150745004,Charles Dickens Elementary,1212535,475325,82.98096176714182,00:01:22,0.508,schools
"1003 E 38TH AV, VANCOUVER, BC",1212463,473210,59150385001,Sir Alexander Mackenzie Elementary,1212313,473057,46.76051401819301,00:00:46,0.269,schools
"1003 E 39TH AV, VANCOUVER, BC",1212468,473112,59150385002,Sir Alexander Mackenzie Elementary,1212313,473057,37.432202841637434,00:00:37,0.171,schools
"1003 E 41ST AV, VANCOUVER, BC",1212474,472903,59150387001,Sir Alexander Mackenzie Elementary,1212313,473057,59.93808989263968,00:00:59,0.319,schools
